INDEX,QCODE,SOURCE,LAYER1,LAYER2,LAYER3,TYPE,CODE1,CODE2,TITLE,QUESTION,INPUT,RESULT,ANSWER,풀이회수,정답회수,오답회수,오답율,EXPLAIN,ANALSYS,1ST,2ND,3rd,4th,5th,6th,7th,8th,9th,10th,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
11,ABANK-0011,인스교재,06재산보험,화재보험,특별약관,진위형,AA01,AA01,전기위험담보특약,"전기위험담보 특별약관은 전기적 손해 그 자체를 보상하며, 전기적 사고의 결과로 생긴 화재손해는 보통약관에서 담보한다.",O,O,O,10.0,10.0,0,,,,,,,,,,,,,,,,,
12,ABANK-0012,인스교재,06재산보험,화재보험,특별약관,진위형,AA01,AA01,풍수재특약," 풍수재위험담보 특약에서 바람, 비, 눈, 우박 또는 모래먼지가 들어옴으로써 생긴 손해는 면책사유이다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,,,,,
13,ABANK-0013,인스교재,06재산보험,화재보험,특별약관,진위형,AA01,AA01,풍수재특약,"풍수재위험담보 특약은 풍재 또는 수재로 생긴 손해를 보상하며 바람, 비, 눈, 우박 또는 모래먼지가 들어옴으로써 생긴 손해는 면책사유로 하고 있다.",O,O,O,10.0,10.0,0,,,,,,,,,,,,,,,,,
14,ABANK-0014,인스교재,06재산보험,화재보험,특별약관,진위형,AA01,AA01,풍수재특약,"풍수재위험담보 특약은 풍재 또는 수재로 생긴 손해를 보상하며 바람, 비, 눈, 우박 또는 모래먼지가 들어옴으로써 생긴 손해도 당연히 보상한다",,X,X,10.0,10.0,0,,면책임,,,,,,,,,,,,,,,
15,ABANK-0015,인스교재,06재산보험,화재보험,특별약관,진위형,AA01,AA01,신체손해배상책임특약,신체손해배상책임 특별약관은 특수건물에 발생한 화재사고로 타인의 재물을 망가뜨려 지는 법률적 손해배상책 임을 보상한다,,X,X,10.0,10.0,0,,타인사망부상,,,,,,,,,,,,,,,
16,ABANK-0016,인스교재,06재산보험,화재보험,특별약관,진위형,AA01,AA01,신체손해배상책임특약,신체손해배상책임 특별약관은 특수건물 보험 목적의 화재사고로 인하여 타인이 사망하거나 부상함으로 인하여 지는 손해에 따라 피보험자가 부담할 손해를 보상한다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,,,,,
17,ABANK-0017,인스교재,06재산보험,화재보험,특별약관,진위형,AA01,AA01,구내폭발위험담보,구내폭발위험담보 특별약관에서 말하는 폭발 또는 파열이란 급격한 산화반응으로 인한 파괴 또는 그 현상을 말한다. 물리적 폭발이나 파열은 기계 보험에서 담보하지 않으므로 제외한다,O,O,O,10.0,10.0,0,,,,,,,,,,,,,,,,,
18,ABANK-0018,인스교재,06재산보험,화재보험,특별약관,진위형,AA01,AA01,구내폭발위험담보,구내폭발위험담보 특별약관에서 말하는 폭발 또는 파열이란  물리적 폭발이나 파열을 말한다,,X,X,10.0,10.0,0,,물리적폭발미담보,,,,,,,,,,,,,,,
19,ABANK-0019,인스교재,06재산보험,화재보험,특별약관,진위형,AA01,AA01,악의적파괴행위,악의적인 파괴행위 특별약관은 소요. 노동쟁의 담보 특약이나 확장(II) 특약이 첨부된 경우에 한하 여 적용할 수 있다,O,O,O,10.0,10.0,0,,,,,,,,,,,,,,,,,
20,ABANK-0020,인스교재,06재산보험,화재보험,특별약관,진위형,AA01,AA01,재조달가액담보특약,재조달가액담보 특별약관은 보험가입금액이 보험목적물 재조달가액의 80% 이상일 경우에 보험가입금액을 한도로 손해액 전액을 보상하며. 미달할 경우에는 보험가입금액의 재조달가액에 대한 비 율에 따라 비례보상한다.1. 보험가입금액이 재조달가액의 80% 이상인 경우 - 재조달가액 기준 손해액 전액 보상 2. 보험가입금액이 재조달가액의 80% 미만인 경우 재조달가액 기준 손해액x 보험가입금액/재조달가액,O,O,O,10.0,10.0,0,,,,,,,,,,,,,,,,,
